Auto Rifles,Barrel Upgrade,Special Modifier,Crit Shot Damage ,Body Shot Damage ,Rounds Per Minute,Time To Kill Crit,Time To Kill Body,Shots To Kill Crit,Shots To Kill Body,Crit Multiplier,Magazine Size,Field Scout Upgrade,Flinch Multiplier,Base Zoom,Reload Time,Aim Down Sights ,Weapon Archetype,Visual Kick Value,Equip Speed ,Aim Assist Percentage,Introduced,Retired,,,,
Sawtooth Oscillator,Smart Drift Control,None,25,20,900,0.46,0.60,8,10,1.25x,87,135,2.00x,1.5x,25,0.402-0.432,Rapid,72,55,71,House Of Wolves,The Taken King,4.82-5.20,,,
Corrective Measure,Accurized Ballistics,None,38,31,600,0.50,0.60,6,7,1.25x,58,100,2.00x,1.5x,25,0.402-0.432,Balanced,71,55,69,Vanilla,TBA,5.02-5.43,,,
Corrective Measure,Soft Ballistics,None,37,29,600,0.50,0.70,6,8,1.25x,58,100,2.00x,1.5x,25,0.402-0.432,Balanced,71,55,69,Vanilla,TBA,5.02-5.43,,,
MG18A Harm's Way,Aggressive Ballistics,None,38,32,600,0.50,0.60,6,7,1.25x,54,100,2.00x,1.5x,30,0.402-0.432,Balanced,50,46,63,The Dark Below,House Of Wolves,5.02-5.43,,,
MG18A Harm's Way,Smart Drift Control,None,37,29,600,0.50,0.60,6,7,1.25x,54,100,2.00x,1.5x,25,0.402-0.432,Balanced,50,46,63,The Dark Below,House Of Wolves,5.02-5.43,,,
Unending Deluge III,Soft Ballistics,None,37,29,600,0.50,0.70,6,8,1.25x,58,100,2.00x,1.5x,25,0.402-0.432,Balanced,70,40,40,House Of Wolves,The Taken King,5.02-5.43,,,
Arma Engine DOA,Soft Ballistics,None,37,29,600,0.50,0.70,6,8,1.25x,55,100,2.00x,1.5x,25,0.402-0.432,Balanced,60,41,69,House Of Wolves,The Taken King,5.02-5.43,,,
Zombie Apoc WF47,Aggressive Ballistics,None,51,43,450,0.40,0.53,4,5,1.25x,43,75,2.00x,1.5x,28,0.420-0.448,Precise,60,37,50,Vanilla,The Dark Below,4.92-5.31,,,
Zombie Apoc WF47,Linear Compensator,None,50,37,450,0.53,0.66,5,6,1.25x,43,75,2.00x,1.5x,22,0.420-0.448,Precise,60,37,50,Vanilla,The Dark Below,4.92-5.31,,,
Zombie Apoc WF47,Smart Drift Control,None,49,39,450,0.53,0.66,5,6,1.25x,43,75,2.00x,1.5x,22,0.420-0.448,Precise,60,37,50,Vanilla,The Dark Below,4.92-5.31,,,
Chain of Orbiks-Fel,Accurized Ballistics,None,50,39,450,0.53,0.66,5,6,1.25x,43,75,2.00x,1.5x,22,0.420-0.448,Precise,63,36,52,House Of Wolves,TBA,4.92-5.31,,,
Pacifier X,Smart Drift Control,None,61,49,360,0.50,0.66,4,5,1.25x,30,60,2.00x,1.5x,22,0.432-0.468,Stable,75,28,72,House Of Wolves,The Taken King,5.13-5.57,,,
Deviant Gravity-A,Linear Compensator,None,62,50,360,0.50,0.50,4,4,1.25x,30,60,2.00x,1.5x,22,0.432-0.468,Stable,77,35,70,Vanilla,House Of Wolves,5.13-5.57,,,
Deviant Gravity-A,Smart Drift Control,None,61,49,360,0.50,0.66,4,5,1.25x,30,60,2.00x,1.5x,22,0.432-0.468,Stable,77,35,70,Vanilla,House Of Wolves,5.13-5.57,,,
Deviant Gravity-A,Aggressive Ballistics,None,63,50,360,0.50,0.50,4,4,1.25x,30,60,2.00x,1.5x,30/22,0.432-0.468,Stable,77,35,70,Vanilla,House Of Wolves,5.13-5.57,,,
THE SWARM,Linear Compensator,None,62,50,360,0.50,0.50,4,4,1.25x,35,60,2.00x,1.5x,22,0.432-0.468,Stable,75,26,74,Vanilla,The Dark Below,5.13-5.57,,,
BTRD-345,Smart Drift Control,None,61,49,360,0.50,0.66,4,5,1.25x,30,60,2.00x,1.5x,22,0.432-0.468,Stable,50,30,50,House Of Wolves,The Taken King,5.13-5.57,,,
The Infinite Theorem,Aggressive Ballistics,None,64,51,360,0.50,0.50,4,4,1.25x,30,60,2.00x,1.5x,30/22,0.432-0.468,Stable,78,26,70,House Of Wolves,The Taken King,5.13-5.57,,,
Jolder's Hammer,Smart Drift Control,None,73,58,300,0.40,0.60,3,4,1.25x,26,50,2.00x,1.75x,25,0.437-0.468,Powerful,77,31,28,Vanilla,TBA,5.24-5.69,,,
Jolder's Hammer,Aggressive Ballistics,None,76,61,300,0.40,0.60,3,4,1.25x,26,50,2.00x,1.75x,25,0.437-0.468,Powerful,77,31,28,Vanilla,TBA,5.24-5.69,,,
Against All Odds,Smart Drift Control,None,73,58,300,0.40,0.60,3,4,1.25x,26,50,2.00x,1.5x,25,0.437-0.468,Powerful,70,31,26,The Dark Below,House Of Wolves,5.24-5.69,,,
Against All Odds,Accurized Ballistics,None,75,60,300,0.40,0.60,3,4,1.25x,26,50,2.00x,1.5x,25,0.437-0.468,Powerful,70,31,26,The Dark Below,House Of Wolves,5.24-5.69,,,
Wolves' Curse,Aggressive Ballistics,None,76,61,300,0.40,0.60,3,4,1.25x,24,50,2.00x,1.5x,25,0.437-0.468,Powerful,66,33,29,House Of Wolves,TBA,5.24-5.69,,,
Diluvian 10/4x,Smart Drift Control,None,25,20,900,0.46,0.60,8,10,1.25x,74,135,2.00x,1.5x,25,0.402-0.432,Rapid,55,59,70,The Taken King,TBA,4.82-5.20,,,
The Variable,Smart Drift Control,None,37,29,600,0.50,0.60,6,7,1.25x,54,100,2.00x,1.5x,25,0.402-0.432,Balanced,80,59,51,The Taken King,TBA,5.02-5.43,,,
Baron's Ambition,Aggressive Ballistics,None,53,43,450,0.40,0.53,4,5,1.25x,43,75,2.00x,1.5x,28,0.420-0.448,Precise,63,36,52,The Taken King,TBA,4.92-5.31,,,
Ruin Wake,Linear Compensator,None,62,50,360,0.50,0.50,4,4,1.25x,35,60,2.00x,1.5x,22,0.432-0.468,Stable,73,26,77,The Taken King,TBA,5.13-5.57,,,
Bretomart's Stand,Linear Compensator,None,62,50,360,0.50,0.50,4,4,1.25x,35,60,2.00x,1.5x,22,0.432-0.468,Stable,77,26,74,The Taken King,TBA,5.13-5.57,,,
Objection IV,Linear Compensator,None,62,50,360,0.50,0.50,4,4,1.25x,35,60,2.00x,1.5x,22,0.432-0.468,Stable,70,35,65,The Taken King,TBA,5.13-5.57,,,
The Unseeing Eye,Linear Compensator,None,62,50,360,0.50,0.50,4,4,1.25x,35,60,2.00x,1.5x,22,0.432-0.468,Stable,78,26,70,The Taken King,TBA,5.13-5.57,,,
Qullim's Terminus,Linear Compensator,None,62,50,360,0.50,0.50,4,4,1.25x,30,60,2.00x,1.5x,22,0.432-0.468,Stable,75,54,65,The Taken King,TBA,5.13-5.57,,,
Super Good Advice,Smooth Ballistics,None,35,28,600,0.50,0.70,6,8,1.25x,58,N/A,2.00x,1.5x,N/A,?,Spread,80,30,30,Vanilla,TBA,?,,,
Thunderlord,Any Barrel,RPM boost,62,50,360/450/600,0.5/0.4/0.3,0.5/0.4/0.3,4,4,1.25x,38,60,2.00x,1.5x,22,?,Zeus,70,60,90,Vanilla,TBA,?,,,
Firelord,Linear Compensator,RPM boost,62,50,360/450/600,0.5/0.4/0.3,0.5/0.4/0.3,4,4,1.25x,49,60,2.00x,1.5x,22,?,Satan,70,60,90,The Taken King,TBA,?,,,
Vordlord,Linear Compensator,RPM boost,62,50,360/450/600,0.5/0.4/0.3,0.5/0.4/0.3,4,4,1.25x,49,60,2.00x,1.5x,22,?,Dark Lord,70,60,90,The Taken King,TBA,?,,,
